代码	    名称
SZ000001	平安银行
SZ000002	万  科Ａ
SZ000004	国农科技
SZ000005	世纪星源
SZ000006	深振业Ａ
SZ000007	零七股份
SZ000008	神州高铁
SZ000009	中国宝安
SZ000010	深华新
SZ000011	深物业A
SZ000012	南  玻Ａ
SZ000014	沙河股份
SZ000016	深康佳Ａ
SZ000017	深中华A
SZ000018	中冠A
SZ000019	深深宝Ａ
SZ000020	深华发Ａ
SZ000021	深科技
SZ000022	深赤湾Ａ
SZ000023	深天地Ａ
SZ000024	招商地产
SZ000025	特  力Ａ
SZ000026	飞亚达Ａ
SZ000027	深圳能源
SZ000028	国药一致
SZ000029	深深房Ａ
SZ000030	富奥股份
SZ000031	中粮地产
SZ000032	深桑达Ａ
SZ000033	*ST新都
SZ000034	深信泰丰
SZ000035	中国天楹
SZ000036	华联控股
SZ000037	深南电Ａ
SZ000038	深大通
SZ000039	中集集团
SZ000040	宝安地产
SZ000042	中洲控股
SZ000043	中航地产
SZ000045	深纺织Ａ
SZ000046	泛海控股
SZ000048	康达尔
SZ000049	德赛电池
SZ000050	深天马Ａ
SZ000055	方大集团
SZ000056	深国商
SZ000058	深 赛 格
SZ000059	*ST华锦
SZ000060	中金岭南
SZ000061	农 产 品
SZ000062	深圳华强
SZ000063	中兴通讯
SZ000065	北方国际
SZ000066	长城电脑
SZ000068	*ST华赛
SZ000069	华侨城Ａ
SZ000070	特发信息
SZ000078	海王生物
SZ000088	盐 田 港
SZ000089	深圳机场
SZ000090	天健集团
SZ000096	广聚能源
SZ000099	中信海直
SZ000100	TCL 集团
SZ000150	宜华健康
SZ000151	中成股份
SZ000153	丰原药业
SZ000155	*ST川化
SZ000156	华数传媒
SZ000157	中联重科
SZ000158	常山股份
SZ000159	国际实业
SZ000166	申万宏源
SZ000301	东方市场
SZ000333	美的集团
SZ000338	潍柴动力
SZ000400	许继电气
SZ000401	冀东水泥
SZ000402	金 融 街
SZ000403	ST生化
SZ000404	华意压缩
SZ000407	胜利股份
SZ000408	金谷源
SZ000409	山东地矿
SZ000410	沈阳机床
SZ000411	英特集团
SZ000413	东旭光电
SZ000415	渤海租赁
SZ000416	民生控股
SZ000417	合肥百货
SZ000418	小天鹅Ａ
SZ000419	通程控股
SZ000420	吉林化纤
SZ000421	南京中北
SZ000422	湖北宜化
SZ000423	东阿阿胶
SZ000425	徐工机械
SZ000426	兴业矿业
SZ000428	华天酒店
SZ000429	粤高速Ａ
SZ000430	张家界
SZ000488	晨鸣纸业
SZ000498	山东路桥
SZ000501	鄂武商Ａ
SZ000502	绿景控股
SZ000503	海虹控股
SZ000504	南华生物
SZ000505	珠江控股
SZ000506	中润资源
SZ000507	珠海港
SZ000509	华塑控股
SZ000510	*ST金路
SZ000511	烯碳新材
SZ000513	丽珠集团
SZ000514	渝 开 发
SZ000516	国际医学
SZ000517	荣安地产
SZ000518	四环生物
SZ000519	江南红箭
SZ000520	*ST凤凰
SZ000521	美菱电器
SZ000523	广州浪奇
SZ000524	东方宾馆
SZ000525	红 太 阳
SZ000526	银润投资
SZ000528	柳    工
SZ000529	广弘控股
SZ000530	大冷股份
SZ000531	穗恒运Ａ
SZ000532	力合股份
SZ000533	万 家 乐
SZ000534	万泽股份
SZ000536	华映科技
SZ000537	广宇发展
SZ000538	云南白药
SZ000539	粤电力Ａ
SZ000540	中天城投
SZ000541	佛山照明
SZ000543	皖能电力
SZ000544	中原环保
SZ000545	金浦钛业
SZ000546	金圆股份
SZ000547	闽福发Ａ
SZ000548	湖南投资
SZ000550	江铃汽车
SZ000551	创元科技
SZ000552	靖远煤电
SZ000553	沙隆达Ａ
SZ000554	泰山石油
SZ000555	神州信息
SZ000557	*ST广夏
SZ000558	莱茵置业
SZ000559	万向钱潮
SZ000560	昆百大Ａ
SZ000561	烽火电子
SZ000563	陕国投Ａ
SZ000564	西安民生
SZ000565	渝三峡Ａ
SZ000566	海南海药
SZ000567	海德股份
SZ000568	泸州老窖
SZ000570	苏常柴Ａ
SZ000571	新大洲Ａ
SZ000572	海马汽车
SZ000573	粤宏远Ａ
SZ000576	广东甘化
SZ000581	威孚高科
SZ000582	北部湾港
SZ000584	友利控股
SZ000585	东北电气
SZ000586	汇源通信
SZ000587	金叶珠宝
SZ000589	黔轮胎Ａ
SZ000590	*ST古汉
SZ000591	桐 君 阁
SZ000592	平潭发展
SZ000593	大通燃气
SZ000594	*ST国恒
SZ000595	西北轴承
SZ000596	古井贡酒
SZ000597	东北制药
SZ000598	兴蓉投资
SZ000599	青岛双星
SZ000600	建投能源
SZ000601	韶能股份
SZ000603	盛达矿业
SZ000605	渤海股份
SZ000606	青海明胶
SZ000607	华媒控股
SZ000608	阳光股份
SZ000609	绵世股份
SZ000610	西安旅游
SZ000611	*ST蒙发
SZ000612	焦作万方
SZ000613	大东海A
SZ000615	湖北金环
SZ000616	海航投资
SZ000617	石油济柴
SZ000619	海螺型材
SZ000620	新华联
SZ000622	恒立实业
SZ000623	吉林敖东
SZ000625	长安汽车
SZ000626	如意集团
SZ000627	天茂集团
SZ000628	高新发展
SZ000629	攀钢钒钛
SZ000630	铜陵有色
SZ000631	顺发恒业
SZ000632	三木集团
SZ000633	合金投资
SZ000635	英 力 特
SZ000636	风华高科
SZ000637	茂化实华
SZ000638	万方发展
SZ000639	西王食品
SZ000650	仁和药业
SZ000651	格力电器
SZ000652	泰达股份
SZ000655	金岭矿业
SZ000656	金科股份
SZ000657	中钨高新
SZ000659	*ST中富
SZ000661	长春高新
SZ000662	索芙特
SZ000663	永安林业
SZ000665	湖北广电
SZ000666	经纬纺机
SZ000667	美好集团
SZ000668	荣丰控股
SZ000669	金鸿能源
SZ000670	盈方微
SZ000671	阳 光 城
SZ000672	上峰水泥
SZ000673	当代东方
SZ000676	智度投资
SZ000677	*ST海龙
SZ000678	襄阳轴承
SZ000679	大连友谊
SZ000680	山推股份
SZ000681	视觉中国
SZ000682	东方电子
SZ000683	远兴能源
SZ000685	中山公用
SZ000686	东北证券
SZ000687	恒天天鹅
SZ000688	建新矿业
SZ000690	宝新能源
SZ000691	亚太实业
SZ000692	惠天热电
SZ000693	华泽钴镍
SZ000695	滨海能源
SZ000697	炼石有色
SZ000698	沈阳化工
SZ000700	模塑科技
SZ000701	厦门信达
SZ000702	正虹科技
SZ000703	恒逸石化
SZ000705	浙江震元
SZ000707	双环科技
SZ000708	大冶特钢
SZ000709	河北钢铁
SZ000710	天兴仪表
SZ000711	*ST京蓝
SZ000712	锦龙股份
SZ000713	丰乐种业
SZ000715	中兴商业
SZ000716	黑芝麻
SZ000717	韶钢松山
SZ000718	苏宁环球
SZ000719	大地传媒
SZ000720	新能泰山
SZ000721	西安饮食
SZ000722	湖南发展
SZ000723	美锦能源
SZ000725	京东方Ａ
SZ000726	鲁  泰Ａ
SZ000727	华东科技
SZ000728	国元证券
SZ000729	燕京啤酒
SZ000731	四川美丰
SZ000732	泰禾集团
SZ000733	振华科技
SZ000735	罗 牛 山
SZ000736	中房地产
SZ000737	南风化工
SZ000738	中航动控
SZ000739	普洛药业
SZ000748	长城信息
SZ000750	国海证券
SZ000751	锌业股份
SZ000752	西藏发展
SZ000753	漳州发展
SZ000755	山西三维
SZ000756	新华制药
SZ000757	浩物股份
SZ000758	中色股份
SZ000759	中百集团
SZ000760	斯太尔
SZ000761	本钢板材
SZ000762	西藏矿业
SZ000766	通化金马
SZ000767	漳泽电力
SZ000768	中航飞机
SZ000776	广发证券
SZ000777	中核科技
SZ000778	新兴铸管
SZ000779	三毛派神
SZ000780	平庄能源
SZ000782	美达股份
SZ000783	长江证券
SZ000785	武汉中商
SZ000786	北新建材
SZ000788	北大医药
SZ000789	万年青
SZ000790	华神集团
SZ000791	甘肃电投
SZ000792	盐湖股份
