代码	    名称
SZ002001	新 和 成
SZ002002	鸿达兴业
SZ002003	伟星股份
SZ002004	华邦颖泰
SZ002005	德豪润达
SZ002006	精功科技
SZ002007	华兰生物
SZ002008	大族激光
SZ002009	天奇股份
SZ002010	传化股份
SZ002011	盾安环境
SZ002012	凯恩股份
SZ002013	中航机电
SZ002014	永新股份
SZ002015	*ST霞客
SZ002016	世荣兆业
SZ002017	东信和平
SZ002018	华信国际
SZ002019	亿帆鑫富
SZ002020	京新药业
SZ002021	中捷资源
SZ002022	科华生物
SZ002023	海特高新
SZ002024	苏宁云商
SZ002025	航天电器
SZ002026	山东威达
SZ002027	七喜控股
SZ002028	思源电气
SZ002029	七 匹 狼
SZ002030	达安基因
SZ002031	巨轮股份
SZ002032	苏 泊 尔
SZ002033	丽江旅游
SZ002034	美 欣 达
SZ002035	华帝股份
SZ002036	汉麻产业
SZ002037	久联发展
SZ002038	双鹭药业
SZ002039	黔源电力
SZ002040	南 京 港
SZ002041	登海种业
SZ002042	华孚色纺
SZ002043	兔 宝 宝
SZ002044	江苏三友
SZ002045	国光电器
SZ002046	轴研科技
SZ002047	宝鹰股份
SZ002048	宁波华翔
SZ002049	同方国芯
SZ002050	三花股份
SZ002051	中工国际
SZ002052	同洲电子
SZ002053	云南盐化
SZ002054	德美化工
SZ002055	得润电子
SZ002056	横店东磁
SZ002057	中钢天源
SZ002058	威 尔 泰
SZ002059	云南旅游
SZ002060	粤 水 电
SZ002061	江山化工
SZ002062	宏润建设
SZ002063	远光软件
SZ002064	华峰氨纶
SZ002065	东华软件
SZ002066	瑞泰科技
SZ002067	景兴纸业
SZ002068	黑猫股份
SZ002069	獐 子 岛
SZ002070	众和股份
SZ002071	长城影视
SZ002072	凯瑞德
SZ002073	软控股份
SZ002074	东源电器
SZ002075	沙钢股份
SZ002076	雪 莱 特
SZ002077	大港股份
SZ002078	太阳纸业
SZ002079	苏州固锝
SZ002080	中材科技
SZ002081	金 螳 螂
SZ002082	栋梁新材
SZ002083	孚日股份
SZ002084	海鸥卫浴
SZ002085	万丰奥威
SZ002086	东方海洋
SZ002087	新野纺织
SZ002088	鲁阳股份
SZ002089	新 海 宜
SZ002090	金智科技
SZ002091	江苏国泰
SZ002092	中泰化学
SZ002093	国脉科技
SZ002094	青岛金王
SZ002095	生 意 宝
SZ002096	南岭民爆
SZ002097	山河智能
SZ002098	浔兴股份
SZ002099	海翔药业
SZ002100	天康生物
SZ002101	广东鸿图
SZ002102	冠福股份
SZ002103	广博股份
SZ002104	恒宝股份
SZ002105	信隆实业
SZ002106	莱宝高科
SZ002107	沃华医药
SZ002108	沧州明珠
SZ002109	兴化股份
SZ002110	三钢闽光
SZ002111	威海广泰
SZ002112	三变科技
SZ002113	天润控股
SZ002114	罗平锌电
SZ002115	三维通信
SZ002116	中国海诚
SZ002117	东港股份
SZ002118	紫鑫药业
SZ002119	康强电子
SZ002120	新海股份
SZ002121	科陆电子
SZ002122	天马股份
SZ002123	荣信股份
SZ002124	天邦股份
SZ002125	湘潭电化
SZ002126	银轮股份
SZ002127	新民科技
SZ002128	露天煤业
SZ002129	中环股份
SZ002130	沃尔核材
SZ002131	利欧股份
SZ002132	恒星科技
SZ002133	广宇集团
SZ002134	天津普林
SZ002135	东南网架
SZ002136	安 纳 达
SZ002137	实 益 达
SZ002138	顺络电子
SZ002139	拓邦股份
SZ002140	东华科技
SZ002141	蓉胜超微
SZ002142	宁波银行
SZ002143	印纪传媒
SZ002144	宏达高科
SZ002145	中核钛白
SZ002146	荣盛发展
SZ002147	方圆支承
SZ002148	北纬通信
SZ002149	西部材料
SZ002150	通润装备
SZ002151	北斗星通
SZ002152	广电运通
SZ002153	石基信息
SZ002154	报 喜 鸟
SZ002155	辰州矿业
SZ002156	通富微电
SZ002157	正邦科技
SZ002158	汉钟精机
SZ002159	三特索道
SZ002160	常铝股份
SZ002161	远 望 谷
SZ002162	斯米克
SZ002163	中航三鑫
SZ002164	宁波东力
SZ002165	红 宝 丽
SZ002166	莱茵生物
SZ002167	东方锆业
SZ002168	深圳惠程
SZ002169	智光电气
