open,high,low,close,volume,amount,MA_5,MA_20,MA_60,EMA_5,EMA_20,EMA_60,offset
6.37,6.91,6.37,6.91,3496936.0,15397716.0,,,,6.91,6.91,6.91,
7.32,7.53,7.11,7.28,15930299.0,75575856.0,,,,7.132,7.10425,7.09808333333,
7.14,8.01,7.13,7.59,17751702.0,88248376.0,,,,7.34894736842,7.28261448793,7.26755115267,
7.42,7.99,7.19,7.89,17162730.0,85454240.0,,,,7.57369230769,7.45795729426,7.43102896186,
7.68,8.07,7.61,7.87,13345120.0,67390864.0,7.508,,,7.68744075829,7.55762691837,7.52477199203,
7.7,8.13,7.65,7.93,10054378.0,51728680.0,7.712,,,7.77607518797,7.63618062956,7.5980610527,
7.79,7.84,7.41,7.42,8342035.0,41050488.0,7.74,,,7.65000485673,7.59530622337,7.57001062189,
7.35,8.03,7.33,7.96,11247962.0,56662084.0,7.814,,,7.75753211737,7.65834537517,7.62463279928,
7.87,8.43,7.81,7.95,14823988.0,78279616.0,7.826,,,7.82340149184,7.70512820312,7.66578897179,
7.9,8.1,7.87,7.93,8426413.0,43510144.0,7.838,,,7.85956139595,7.73899194725,7.69634607071,
7.9,8.21,7.82,7.96,8017443.0,41533876.0,7.844,,,7.89343251532,7.77052821064,7.72450526385,
7.84,7.92,7.64,7.81,4480232.0,22486444.0,7.922,,,7.86540566422,7.77590537967,7.73300713048,
7.75,7.84,7.65,7.73,3044283.0,15239642.0,7.876,,,7.82003732983,7.76989801667,7.7327267791,
7.72,7.93,7.72,7.89,4093943.0,20799086.0,7.864,,,7.84343837989,7.78507437433,7.74655347104,
7.82,7.9,7.65,7.73,3395279.0,17016544.0,7.824,,,7.80553903745,7.77832511707,7.74517420723,
7.79,8.49,7.79,8.36,10623490.0,56258532.0,7.904,,,7.99064116497,7.84771325357,7.79393827027,
8.3,8.7,8.24,8.52,9552354.0,52315276.0,8.046,,,8.16727338448,7.92602689009,7.84896466023,
8.52,8.66,8.32,8.5,6513575.0,35655256.0,8.2,,,8.27825735245,7.99149686441,7.89627079696,
8.47,8.55,8.12,8.22,6477179.0,35257232.0,8.266,,,8.25882947119,8.01707934081,7.91889187107,
8.18,8.56,8.18,8.49,6652532.0,36227440.0,8.418,7.897,,8.3359094943,8.06915537428,7.95737172257,
