open,high,low,close,volume,amount,MA_60,EMA_60,offset
6.37,6.91,6.37,6.91,3496936.0,15397716.0,,6.91,
7.32,7.53,7.11,7.28,15930299.0,75575856.0,,7.09808333333,
7.14,8.01,7.13,7.59,17751702.0,88248376.0,,7.26755115267,
7.42,7.99,7.19,7.89,17162730.0,85454240.0,,7.43102896186,
7.68,8.07,7.61,7.87,13345120.0,67390864.0,,7.52477199203,
7.7,8.13,7.65,7.93,10054378.0,51728680.0,,7.5980610527,
7.79,7.84,7.41,7.42,8342035.0,41050488.0,,7.57001062189,
7.35,8.03,7.33,7.96,11247962.0,56662084.0,,7.62463279928,
7.87,8.43,7.81,7.95,14823988.0,78279616.0,,7.66578897179,
7.9,8.1,7.87,7.93,8426413.0,43510144.0,,7.69634607071,
7.9,8.21,7.82,7.96,8017443.0,41533876.0,,7.72450526385,
7.84,7.92,7.64,7.81,4480232.0,22486444.0,,7.73300713048,
7.75,7.84,7.65,7.73,3044283.0,15239642.0,,7.7327267791,
7.72,7.93,7.72,7.89,4093943.0,20799086.0,,7.74655347104,
7.82,7.9,7.65,7.73,3395279.0,17016544.0,,7.74517420723,
7.79,8.49,7.79,8.36,10623490.0,56258532.0,,7.79393827027,
8.3,8.7,8.24,8.52,9552354.0,52315276.0,,7.84896466023,
8.52,8.66,8.32,8.5,6513575.0,35655256.0,,7.89627079696,
8.47,8.55,8.12,8.22,6477179.0,35257232.0,,7.91889187107,
8.18,8.56,8.18,8.49,6652532.0,36227440.0,,7.95737172257,
8.5,8.87,8.49,8.69,8998946.0,50301968.0,,8.00508400344,
8.56,8.84,8.32,8.8,8935995.0,49515952.0,,8.05523110699,
8.63,9.57,8.52,9.17,14200777.0,83743616.0,,8.12348802025,
9.17,9.28,8.63,9.0,9559733.0,55324284.0,,8.17567228039,
8.87,9.88,8.8,9.69,16096660.0,98312592.0,,8.26348088832,
9.66,9.8,9.47,9.68,10381220.0,64878092.0,,8.34359919677,
9.54,9.71,9.04,9.07,8342225.0,50437468.0,,8.38373037699,
8.95,9.26,8.73,8.95,6077348.0,35463320.0,,8.41432764653,
8.94,9.71,8.94,9.11,11236851.0,67574496.0,,8.45113492588,
9.07,9.4,8.81,9.32,8156468.0,48866120.0,,8.49619886802,
9.32,10.19,9.29,10.12,16194674.0,103256408.0,,8.57884110801,
10.12,10.72,9.88,10.03,18093680.0,120334288.0,,8.65138328799,
10.2,10.34,9.57,10.0,10209128.0,65940668.0,,8.71765937503,
10.02,10.08,9.0,9.01,9216436.0,56588152.0,,8.73179487804,
8.72,8.92,8.12,8.12,8324306.0,44758744.0,,8.70266626579,
8.01,8.87,7.73,8.73,8512438.0,46806556.0,,8.70394866084,
8.35,9.06,8.3,8.6,11061915.0,62886280.0,,8.69913973116,
8.6,9.41,8.49,9.2,10882877.0,62913912.0,,8.72200270857,
9.52,9.64,8.95,9.24,11855959.0,71803480.0,,8.74534771758,
9.18,9.55,8.9,9.26,7223149.0,43554552.0,,8.7682605829,
9.26,9.38,8.49,8.64,6255358.0,36088380.0,,8.76261651424,
8.43,8.86,8.43,8.8,3117955.0,17528308.0,,8.76424331423,
8.98,9.06,8.64,8.7,3085508.0,17687166.0,,8.76147734531,
8.56,8.95,8.44,8.78,3346049.0,18923992.0,,8.76226672532,
8.83,9.04,8.64,8.83,4251739.0,24407754.0,,8.76512521511,
8.8,8.9,8.58,8.83,2284269.0,12981520.0,,8.7678375333,
8.86,9.31,8.81,9.24,6249048.0,36948364.0,,8.78740144492,
9.24,9.58,9.24,9.38,7859472.0,48032932.0,,8.81174507085,
9.49,9.71,9.34,9.63,7614690.0,47165360.0,,8.84508208819,
9.81,9.88,9.29,9.57,9773233.0,60650472.0,,8.87438332279,
9.57,9.8,9.34,9.78,9015923.0,55741088.0,,8.91071111774,
