date,open,high,close,low,volume,amount
1997-04-15,21.0,22.6,22.4,20.1,43790000.0,914308815.0
1997-04-16,21.98,22.7,21.48,21.11,14112800.0,310582573.0
1997-04-17,21.5,21.6,21.16,20.81,5880100.0,124315768.0
1997-04-18,21.23,21.38,21.3,20.7,4472200.0,94232025.0
1997-04-21,21.5,23.42,23.42,21.5,9744800.0,225692164.0
1997-04-22,23.56,24.8,24.06,23.15,6274600.0,150153208.0
1997-04-23,24.02,24.69,24.12,23.7,4492700.0,108566618.0
1997-04-24,23.88,24.55,24.22,23.51,5452000.0,130564267.0
1997-04-25,24.2,26.29,24.9,24.1,6817100.0,172665328.0
1997-04-28,25.38,26.99,25.11,24.9,6128800.0,158202114.0
1997-04-29,25.32,25.7,24.08,23.2,4389300.0,105476606.0
1997-04-30,24.1,24.6,23.85,23.6,3133400.0,75230102.0
1997-05-05,24.0,24.5,23.93,23.5,5742200.0,137850346.0
1997-05-06,24.0,24.1,23.85,23.62,4869700.0,116129288.0
1997-05-07,23.85,25.0,24.42,23.15,5919200.0,141928413.0
1997-05-08,24.51,24.6,22.35,22.2,5160900.0,121456565.0
1997-05-09,22.1,23.48,22.68,22.0,4061600.0,91810149.0
1997-05-12,22.7,23.9,23.0,22.5,3368700.0,77844044.0
1997-05-13,23.0,23.0,22.18,21.89,2863400.0,63478113.0
1997-05-14,22.0,22.68,20.9,20.8,2749000.0,58944627.0
1997-05-15,20.8,21.85,21.68,20.6,1735600.0,36968400.0
1997-05-16,19.53,21.2,19.62,19.53,3887200.0,78136477.0
1997-05-19,20.11,21.0,21.0,19.9,1814800.0,37065813.0
1997-05-20,21.26,21.5,21.25,20.7,2432000.0,51627208.0
1997-05-21,21.24,21.3,20.28,20.15,1840700.0,37692265.0
1997-05-22,18.25,19.5,18.25,18.25,1727100.0,31826746.0
1997-05-23,18.25,19.1,18.34,18.1,1150500.0,21246700.0
1997-05-26,18.5,18.7,18.15,17.25,825000.0,14904277.0
1997-05-27,18.3,19.48,19.0,18.3,2160200.0,41172636.0
1997-05-28,19.5,19.5,18.77,18.6,1346700.0,25662626.0
1997-05-29,18.9,19.2,18.71,18.6,1005300.0,19011166.0
1997-05-30,18.65,19.3,18.93,18.65,809700.0,15340562.0
1997-06-02,19.3,20.82,20.82,19.08,2016800.0,40349514.0
1997-06-03,21.01,21.3,20.69,20.0,2404500.0,50164036.0
1997-06-04,20.7,21.0,20.83,20.35,1493400.0,30753294.0
1997-06-05,20.7,21.61,20.51,20.0,2184800.0,45179358.0
1997-06-06,18.8,19.84,18.85,18.51,2295600.0,43848293.0
1997-06-09,18.8,19.1,18.79,18.5,668600.0,12560265.0
1997-06-10,18.83,18.9,17.8,17.68,788800.0,14510023.0
1997-06-11,18.0,18.1,17.0,16.02,975900.0,16335147.0
1997-06-12,17.2,17.5,16.88,16.5,840900.0,14290332.0
1997-06-13,16.0,17.9,17.76,16.0,1182400.0,20381734.0
1997-06-16,18.1,18.9,18.55,18.1,1407300.0,26223266.0
1997-06-17,18.75,18.75,17.98,17.9,750700.0,13620857.0
1997-06-18,17.8,18.07,17.47,17.4,607800.0,10735381.0
1997-06-19,17.58,17.6,17.03,16.98,763300.0,13165531.0
1997-06-20,17.7,18.36,18.24,17.2,1374000.0,24680671.0
1997-06-23,18.8,19.1,18.58,17.51,3474300.0,63944432.0
1997-06-24,18.7,19.65,19.6,18.5,3879100.0,74285793.0
1997-06-25,19.6,20.2,19.47,19.2,2562500.0,50743642.0
1997-06-26,19.37,19.38,19.16,18.9,1518000.0,28959944.0
1997-06-27,19.1,19.56,18.44,18.3,1595400.0,30144982.0
1997-07-02,18.7,18.88,17.43,16.6,1263400.0,22085519.0
1997-07-03,17.8,17.8,16.78,16.7,1142000.0,19404003.0
1997-07-04,16.31,17.48,17.17,16.2,834300.0,14149592.0
1997-07-07,17.51,17.51,15.7,15.45,847000.0,13853463.0
1997-07-08,15.69,16.5,16.2,15.18,949800.0,14910850.0
