code,name,open,high,low,close,volume,amount,MA_60,date
600256,广汇能源,243.44,248.23,241.97,247.13,52235552.0,348937920.0,278.411673616,2015-12-21
600031,三一重工,296.44,301.86,295.08,301.41,57321972.0,379890944.0,334.061955783,2015-12-21
600149,廊坊发展,44.19,45.0,43.43,44.53,14030346.0,215040160.0,49.2298946136,2015-12-21
600320,振华重工,63.87,65.13,63.55,64.81,17962742.0,110559544.0,72.4446622003,2015-12-21
600435,北方导航,200.3,204.65,199.43,202.78,15509958.0,467708352.0,228.576643963,2015-12-21
601106,中国一重,8.35,8.6,8.32,8.49,70531384.0,590901632.0,9.7152343601,2015-12-21
002353,杰瑞股份,199.23,202.93,198.51,201.8,14471529.0,362027712.0,248.972247328,2015-12-21
600583,海油工程,168.48,172.34,167.38,170.69,37003196.0,341897344.0,191.581102215,2015-12-21
601808,中海油服,17.89,18.15,17.84,18.13,11895931.0,192590832.0,20.3640934347,2015-12-21
601857,中国石油,10.59,10.74,10.54,10.72,73620272.0,625573440.0,11.9063537363,2015-12-21
002221,东华能源,52.22,52.38,51.33,51.94,6477849.0,164783904.0,57.2271510972,2015-12-21
300157,恒泰艾普,75.11,76.27,74.33,75.78,14433482.0,178658336.0,85.538319705,2015-12-21
300164,通源石油,62.27,63.71,61.92,63.29,9924617.0,104113264.0,70.3341175176,2015-12-21
601008,连云港,11.4,11.53,11.34,11.52,17628324.0,123576448.0,12.7449262606,2015-12-21
600170,上海建工,67.22,68.14,66.85,67.86,31683880.0,232888592.0,76.3721695813,2015-12-21
600528,中铁二局,59.8,59.8,59.8,59.8,960965.0,13914773.0,67.0093778367,2015-12-21
600545,新疆城建,46.79,47.91,46.31,47.31,22219652.0,260590704.0,52.0556787336,2015-12-21
300169,天晟新材,28.2,28.2,28.2,28.2,5461.0,50023.0,40.1264326426,2015-12-21
601010,文峰股份,30.3,31.39,30.01,31.23,34605264.0,253172032.0,35.152448711,2015-12-21
601558,华锐风电,24.72,25.41,24.72,25.22,40670332.0,163131520.0,30.3208570146,2015-12-21
601989,中国重工,16.5,17.07,16.43,16.85,260328704.0,2602015488.0,18.8857459391,2015-12-21
600546,山煤国际,37.26,38.15,37.1,38.07,29838816.0,139491584.0,41.9085623323,2015-12-21
601001,大同煤业,11.95,12.29,11.91,12.23,18553932.0,105615368.0,13.7878888517,2015-12-21
601225,陕西煤业,5.14,5.31,5.1,5.27,41390044.0,209943664.0,5.90857296438,2015-12-21
601666,平煤股份,11.9,12.15,11.85,12.08,24551954.0,117330976.0,13.3604752456,2015-12-21
601918,国投新集,15.0,15.24,14.92,15.04,56383676.0,561490368.0,16.5753674161,2015-12-21
000933,神火股份,53.86,55.67,53.62,55.43,50589588.0,229936608.0,62.3724493457,2015-12-21
002128,露天煤业,21.63,22.13,21.47,22.03,36361004.0,337804512.0,25.2016451738,2015-12-21
600005,武钢股份,18.61,19.36,18.45,19.04,70963472.0,251820416.0,22.4583758357,2015-12-21
600010,包钢股份,22.04,22.87,21.92,22.64,125071080.0,474345792.0,25.385690113,2015-12-21
600022,山东钢铁,13.39,13.65,13.31,13.57,56139352.0,178086592.0,15.0243226052,2015-12-21
600282,南钢股份,16.68,17.04,16.57,16.94,58467764.0,187974272.0,19.74046532,2015-12-21
600307,酒钢宏兴,16.55,16.93,16.51,16.85,80245144.0,320983872.0,19.2111401726,2015-12-21
600808,马钢股份,5.93,6.15,5.89,6.06,73767096.0,242755776.0,6.89804650015,2015-12-21
000825,太钢不锈,27.61,28.07,27.41,27.94,37975788.0,159202480.0,31.2398212987,2015-12-21
600208,新湖中宝,31.5,32.14,31.37,31.95,116777560.0,579305408.0,37.2603883984,2015-12-21
000712,锦龙股份,378.84,389.77,373.82,382.44,32764830.0,975129152.0,422.635357243,2015-12-21
200581,苏威孚Ｂ,83.25,85.0,83.17,84.55,933579.0,19328326.0,93.2153387572,2015-12-21
600406,国电南瑞,370.51,381.62,370.26,378.91,29577664.0,452696000.0,417.369924633,2015-12-21
600601,方正科技,30453.8,31168.68,30215.51,31025.7,63794900.0,412651904.0,34728.5637675,2015-12-21
300226,上海钢联,213.34,219.83,211.97,217.12,9860582.0,542899584.0,249.869491267,2015-12-21
002129,中环股份,52.78,53.99,52.45,53.45,45124256.0,577115456.0,60.8410885716,2015-12-21
600795,国电电力,928.89,952.12,926.57,945.15,217587904.0,883248384.0,1039.77811253,2015-12-21
601016,节能风电,16.69,17.02,16.56,16.89,9947384.0,164822400.0,19.1180613248,2015-12-21
601991,大唐发电,12.02,12.28,11.97,12.25,22623058.0,118611456.0,13.6173500748,2015-12-21
601258,庞大集团,19.38,19.73,19.33,19.68,85881824.0,338473920.0,21.6649570445,2015-12-21
002240,威华股份,22.63,22.63,21.79,22.15,31791644.0,436520160.0,26.7858340967,2015-12-21
600739,辽宁成大,697.31,705.72,674.16,688.59,175911968.0,4026660864.0,777.409650176,2015-12-21
600839,四川长虹,190.99,202.07,190.35,197.64,136656272.0,853696000.0,218.974994912,2015-12-21
