code,name,open,high,low,close,volume,amount,MA_60,date,p_change
600018,上港集团,6.71,6.72,6.65,6.66,9717131.0,49729209.0,11.7466773674,2016-09-28,76.3765370482
300028,金亚科技,30.82,30.82,30.29,30.32,6147543.0,77648135.0,41.6301171001,2016-09-28,37.302497032
300299,富春通信,105.01,105.01,99.19,101.05,15661653.0,385939835.0,137.83100827,2016-09-28,36.3988206529
600381,青海春天,14.8,14.98,14.75,14.86,2049041.0,22718384.0,19.4856369858,2016-09-28,31.1281089221
002052,同洲电子,71.72,71.92,70.69,70.9,7132462.0,74336736.0,90.7029394704,2016-09-28,27.9308032023
300451,创业软件,107.97,108.06,105.21,105.57,2307926.0,81415900.0,134.395554493,2016-09-28,27.3046836155
000633,合金投资,67.26,67.71,66.29,67.71,3531632.0,31755178.0,85.0089568584,2016-09-28,25.5485997023
000520,长航凤凰,48.15,48.3,47.65,47.94,15560029.0,103176871.0,59.4903714801,2016-09-28,24.0933906552
000670,盈方微,81.58,82.1,80.74,80.95,7765792.0,60216797.0,100.405457056,2016-09-28,24.0339185375
600650,锦江投资,96.68,96.72,95.33,95.49,2111413.0,51109344.0,117.474548925,2016-09-28,23.0228808509
002751,易尚展示,106.96,107.24,105.48,105.82,1611798.0,85276121.0,129.648270883,2016-09-28,22.5177385026
002015,*ST霞客,45.59,45.98,45.19,45.29,2326450.0,21315595.0,55.4753907808,2016-09-28,22.4892708782
300162,雷曼股份,90.13,90.13,86.72,87.49,7092838.0,120311046.0,107.084784871,2016-09-28,22.396599464
000831,五矿稀土,46.55,46.55,46.05,46.34,6258613.0,69810593.0,56.4796563334,2016-09-28,21.8810020142
600745,中茵股份,48.97,50.4,46.95,49.27,9615406.0,202463247.0,60.040338591,2016-09-28,21.8598307104
601918,国投新集,5.92,5.98,5.87,5.95,12623286.0,49482348.0,7.23492950957,2016-09-28,21.5954539423
300392,腾信股份,134.44,135.7,132.93,133.23,2400226.0,53332171.0,161.433826558,2016-09-28,21.1692761075
600836,界龙实业,163.03,163.03,160.25,160.77,5081131.0,47152440.0,194.493059286,2016-09-28,20.9759652209
300333,兆日科技,61.21,61.41,60.69,61.05,4110762.0,77074967.0,73.6118902111,2016-09-28,20.5763967421
300052,中青宝,52.09,52.09,51.07,51.31,3411837.0,65778843.0,61.7723704958,2016-09-28,20.3905096391
000629,攀钢钒钛,18.6,19.45,18.52,19.45,55916096.0,137589016.0,23.3990757512,2016-09-28,20.3037313686
600358,国旅联合,35.75,35.85,34.98,35.16,11930830.0,121273004.0,42.222832144,2016-09-28,20.0876909671
