code,name,open,high,low,close,volume,amount,MA_20,date
000301,东方市场,12.83,13.0,12.81,13.0,13621054.0,83780864.0,12.908,2015-12-25
000909,数源科技,38.33,39.64,37.87,39.39,6802657.0,125299008.0,38.6645,2015-12-25
600368,五洲交通,14.79,15.39,14.67,15.39,18535754.0,120603667.0,14.8185,2015-12-25
002064,华峰氨纶,71.49,72.69,71.27,72.58,16718152.0,110374032.0,71.5975,2015-12-25
600031,三一重工,295.54,300.06,295.08,298.7,34448345.0,226739076.0,297.298,2015-12-25
600243,青海华鼎,21.55,22.57,21.55,22.46,10354859.0,146059972.0,22.216,2015-12-25
600320,振华重工,63.66,64.71,63.34,64.18,13905817.0,84549141.0,63.9135,2015-12-25
000678,襄阳轴承,45.37,46.17,45.01,45.99,11231772.0,114835256.0,45.44,2015-12-25
000811,烟台冰轮,170.91,176.12,170.08,175.91,15760872.0,263911712.0,172.1505,2015-12-25
300307,慈星股份,32.87,34.02,32.59,34.02,11986386.0,191338240.0,32.8445,2015-12-25
600518,康美药业,755.92,764.22,752.42,757.23,35165705.0,610200418.0,751.572,2015-12-25
603998,方盛制药,65.16,67.28,65.16,66.81,2196102.0,112016321.0,65.172,2015-12-25
000790,华神集团,128.55,140.17,127.77,138.78,25053158.0,386006912.0,135.24,2015-12-25
002294,信立泰,308.9,312.69,306.31,308.01,3440306.0,107115656.0,307.85,2015-12-25
002433,太安堂,60.32,63.65,60.28,63.33,29151802.0,442306272.0,60.8555,2015-12-25
002550,千红制药,96.72,100.96,94.26,100.37,16126883.0,369419520.0,96.2285,2015-12-25
002658,雪迪龙,118.83,124.08,118.79,123.99,14606799.0,396829408.0,119.6535,2015-12-25
300203,聚光科技,36.35,37.76,36.24,37.03,9084362.0,332766272.0,36.674,2015-12-25
000421,南京中北,84.57,92.12,84.29,91.75,18057204.0,168861200.0,85.648,2015-12-25
002234,民和股份,33.86,35.95,33.67,35.53,7994249.0,135047248.0,34.5175,2015-12-25
000619,海螺型材,130.77,132.93,130.5,132.75,4378555.0,63995540.0,131.9905,2015-12-25
002060,粤 水 电,17.27,17.8,17.23,17.6,11618321.0,110658136.0,17.562,2015-12-25
002469,三维工程,80.59,82.79,80.59,82.69,7174466.0,114989976.0,80.8655,2015-12-25
002263,大 东 南,21.11,22.1,21.11,21.74,21428150.0,206565888.0,21.5345,2015-12-25
600865,百大集团,95.17,98.37,94.86,96.82,8552426.0,161096042.0,96.699,2015-12-25
600891,秋林集团,51.55,53.26,51.05,52.1,11896584.0,123196139.0,50.8115,2015-12-25
603939,益丰药房,84.24,85.51,83.19,84.86,2713546.0,114255650.0,84.14,2015-12-25
000560,昆百大Ａ,49.33,50.5,49.05,50.31,3107206.0,39410900.0,49.9495,2015-12-25
000882,华联股份,17.03,17.75,17.03,17.29,72125912.0,434539584.0,16.946,2015-12-25
600152,维科精华,35.42,37.85,35.3,37.58,19459123.0,236362047.0,35.4385,2015-12-25
000726,鲁  泰Ａ,92.66,94.27,91.85,94.06,9730862.0,134938768.0,93.425,2015-12-25
002127,新民科技,59.72,65.66,59.72,63.9,17449364.0,333102752.0,62.77,2015-12-25
002144,宏达高科,31.23,32.47,31.23,32.04,5647161.0,168397840.0,31.349,2015-12-25
000150,宜华健康,71.45,73.12,71.45,72.48,2433743.0,88654288.0,72.4485,2015-12-25
600390,金瑞科技,69.6,73.13,69.05,70.76,27493932.0,423313229.0,69.8965,2015-12-25
600290,华仪电气,72.78,76.41,72.72,75.57,15613476.0,235467705.0,73.901,2015-12-25
600348,阳泉煤业,52.2,52.99,52.12,52.99,18884635.0,125319364.0,52.364,2015-12-25
601001,大同煤业,11.93,12.21,11.91,12.18,10426741.0,58834776.0,11.9315,2015-12-25
601666,平煤股份,11.85,12.05,11.82,12.0,14746853.0,69829917.0,11.8965,2015-12-25
000937,冀中能源,35.97,36.25,35.76,36.18,17223728.0,87920024.0,36.071,2015-12-25
002487,大金重工,68.66,70.21,68.34,68.93,16042247.0,244016256.0,68.27,2015-12-25
002573,清新环境,164.84,166.99,162.92,166.91,12590289.0,281748640.0,164.999,2015-12-25
300217,东方电热,64.21,70.72,64.21,70.35,21679488.0,330689248.0,65.4225,2015-12-25
600959,江苏有线,21.43,21.62,21.3,21.49,11554032.0,246181201.0,21.419,2015-12-25
600722,*ST金化,43.89,43.89,43.83,43.89,8659233.0,64597550.0,42.2315,2015-12-25
