code,name,open,high,low,close,volume,amount,MA_60,date
002026,山东威达,48.67,50.34,48.04,50.34,18205816.0,257346992.0,50.051833333333384,2015-12-04
002020,京新药业,124.1,125.89,123.14,124.8,5207895.0,148166768.0,124.33399999999997,2015-12-04
002099,海翔药业,62.73,64.01,62.45,62.99,12741662.0,251783376.0,62.71116666666672,2015-12-04
300194,福安药业,36.21,39.45,36.07,38.4,9419480.0,178235296.0,36.51733333333334,2015-09-30
600598,北大荒,32.82,35.38,32.02,35.04,57084572.0,858979520.0,33.40150000000002,2015-12-04
000998,隆平高科,213.78,219.87,209.6,219.23,22111416.0,445409120.0,218.2508333333334,2015-12-04
002112,三变科技,43.89,49.24,42.08,49.24,36444696.0,655236800.0,45.883333333333326,2015-07-20
002067,景兴纸业,26.45,28.83,26.26,28.01,156088096.0,1619040000.0,27.076666666666686,2015-12-04
002647,宏磊股份,29.31,32.44,29.04,31.74,11781397.0,273030208.0,31.00850000000001,2015-11-16
600618,氯碱化工,299.28,331.91,297.32,325.78,14944550.0,196960464.0,308.5568333333333,2015-12-04
600746,江苏索普,63.35,68.03,62.48,67.81,12689672.0,115513440.0,67.62300000000012,2015-10-12
300459,浙江金科,41.11,46.63,40.89,46.63,19440108.0,353719552.0,44.669166666666676,2015-09-11
002345,潮宏基,90.91,93.93,89.89,93.1,20126304.0,288968608.0,92.97816666666662,2015-12-04
002289,宇顺电子,32.02,33.9,31.02,33.9,37646728.0,1206491776.0,32.334999999999944,2015-12-04
300342,天银机电,57.67,59.77,56.88,59.61,4863541.0,136359248.0,57.93616666666654,2015-10-16
002470,金正大,40.59,41.85,39.97,41.31,14449281.0,285921376.0,41.11100000000004,2015-12-04
002242,九阳股份,85.58,88.26,84.0,86.64,22814588.0,498658144.0,85.74400000000004,2015-12-04
002473,圣莱达,62.31,68.54,60.73,68.54,12083219.0,389295360.0,63.77533333333329,2015-05-18
