		code	name	buy_date	buy_price	period	ratio	sell_date	sell_price
000916	华北高速			2016-05-27	8.77	556	104.9	持有	17.97
000622	*ST恒立			2018-01-02	36.90	315	103.41	持有	75.06
600695	绿庭投资			2018-10-24	7.99	20	82.48	持有	14.58
002463	沪电股份			2018-04-18	11.85	209	80.76	持有	21.42
002700	新疆浩源			2018-04-19	47.21	208	70.03	持有	80.27
300107	建新股份			2017-10-11	57.14	398	66.59	持有	95.19
002054	德美化工			2018-06-27	16.91	139	65.11	持有	27.92
002607	亚夏汽车			2017-01-25	43.61	657	56.87	持有	68.41
300146	汤臣倍健			2017-11-08	369.98	370	55.34	持有	574.72
002708	光洋股份			2018-07-10	15.56	126	49.23	持有	23.22
300274	阳光电源			2018-10-26	37.90	18	45.17	持有	55.02
002194	武汉凡谷			2018-10-23	11.91	21	43.32	持有	17.07
000939	凯迪生态			2018-10-29	19.48	15	39.89	持有	27.25
002679	福建金森			2018-08-24	20.19	81	35.66	持有	27.39
002618	丹邦科技			2018-07-04	35.70	132	34.23	持有	47.92
601877	正泰电器			2017-05-25	30.08	537	33.88	持有	40.27
002584	西陇科学			2018-10-30	13.90	14	33.38	持有	18.54
600438	通威股份			2017-02-22	63.67	629	33.2	持有	84.81
600112	天成控股			2018-06-29	12.92	137	33.13	持有	17.20
000509	华塑控股			2018-07-25	29.83	111	32.01	持有	39.38
600165	新日恒力			2018-10-25	17.73	19	31.98	持有	23.40
000793	华闻传媒			2018-10-26	35.34	18	30.16	持有	46.00
600082	海泰发展			2018-09-20	25.47	54	30.0	持有	33.11
600682	南京新百			2018-10-29	122.99	15	29.32	持有	159.05
000502	绿景控股			2018-08-10	22.55	95	27.76	持有	28.81
600161	天坛生物			2018-08-22	154.76	83	26.54	持有	195.84
600235	民丰特纸			2017-12-29	14.30	319	25.73	持有	17.98
600961	株冶集团			2018-07-02	9.97	134	25.18	持有	12.48
600130	波导股份			2018-10-25	18.77	19	24.99	持有	23.46
600784	鲁银投资			2018-10-30	30.10	14	24.72	持有	37.54
002326	永太科技			2018-10-26	33.92	18	24.32	持有	42.17
000673	当代东方			2018-10-24	57.80	20	24.1	持有	71.73
300090	盛运环保			2018-10-29	17.05	15	23.52	持有	21.06
000707	双环科技			2018-10-25	7.96	19	23.37	持有	9.82
002310	东方园林			2018-10-19	367.37	25	23.07	持有	452.11
002569	步森股份			2018-08-24	15.37	81	22.84	持有	18.88
601699	潞安环能			2016-01-06	36.61	1042	22.59	持有	44.88
300077	国民技术			2018-09-18	39.95	56	22.33	持有	48.87
300266	兴源环境			2018-10-22	73.23	22	22.26	持有	89.53
600891	秋林集团			2018-08-29	25.61	76	22.06	持有	31.26
300130	新国都			2018-08-10	73.34	95	21.94	持有	89.43
600311	荣华实业			2018-06-29	13.19	137	21.61	持有	16.04
300289	利德曼			2018-10-25	14.70	19	20.95	持有	17.78
300498	温氏股份			2018-09-03	32.15	71	20.84	持有	38.85
002628	成都路桥			2018-07-10	16.16	126	20.48	持有	19.47
002504	弘高创意			2018-10-23	9.81	21	20.39	持有	11.81
600568	中珠控股			2018-10-29	30.16	15	20.26	持有	36.27
300012	华测检测			2018-10-16	107.66	28	19.89	持有	129.07
000611	*ST蒙发			2018-10-31	27.26	13	19.59	持有	32.60
000566	海南海药			2018-10-24	52.03	20	19.58	持有	62.22
000158	常山股份			2018-10-30	12.90	14	19.46	持有	15.41
000576	广东甘化			2018-10-30	36.95	14	19.0	持有	43.97
600283	钱江水利			2018-08-23	17.48	82	18.94	持有	20.79
600084	中葡股份			2018-10-31	21.69	13	18.86	持有	25.78
600227	赤天化			2018-10-26	16.41	18	18.59	持有	19.46
601012	隆基股份			2018-08-13	112.35	92	17.94	持有	132.51
600789	鲁抗医药			2017-11-14	17.05	364	17.71	持有	20.07
300381	溢多利			2018-09-25	44.04	49	17.44	持有	51.72
600107	美尔雅			2018-09-04	14.28	70	17.3	持有	16.75
002331	皖通科技			2018-08-09	38.97	96	16.91	持有	45.56
600864	哈投股份			2018-07-04	44.97	132	16.86	持有	52.55
300283	温州宏丰			2018-09-18	26.86	56	16.72	持有	31.35
002175	东方网络			2018-10-25	21.04	19	16.63	持有	24.54
300423	鲁亿通			2017-11-29	33.04	349	16.59	持有	38.52
002225	濮耐股份			2018-10-19	8.10	25	16.3	持有	9.42
000035	中国天楹			2018-08-08	18.64	97	16.09	持有	21.64
600425	青松建化			2018-07-09	16.36	127	16.01	持有	18.98
603555	贵人鸟			2018-10-18	6.98	26	15.76	持有	8.08
600587	新华医疗			2018-09-11	66.05	63	15.72	持有	76.43
603806	福斯特			2018-08-07	30.64	98	15.5	持有	35.39
002171	楚江新材			2018-10-23	23.01	21	14.99	持有	26.46
601177	杭齿前进			2018-08-24	6.32	81	14.72	持有	7.25
000950	*ST建峰			2018-10-26	11.90	18	14.71	持有	13.65
000034	神州数码			2018-08-23	39.74	82	14.7	持有	45.58
000972	中基健康			2018-10-26	8.23	18	14.7	持有	9.44
000739	普洛药业			2018-08-28	87.66	77	14.68	持有	100.53
002544	杰赛科技			2018-10-30	62.68	14	14.47	持有	71.75
600807	天业股份			2018-10-26	14.39	18	14.11	持有	16.42
002248	华东数控			2018-09-19	15.60	55	14.1	持有	17.80
000587	金洲慈航			2018-10-25	41.24	19	14.04	持有	47.03
002595	豪迈科技			2018-09-14	60.81	60	13.96	持有	69.30
600683	京投发展			2018-08-13	25.63	92	13.93	持有	29.20
002134	天津普林			2018-09-14	7.63	60	13.89	持有	8.69
600380	健康元			2018-10-30	77.11	14	13.89	持有	87.82
600333	长春燃气			2018-04-03	15.20	224	13.75	持有	17.29
600529	山东药玻			2017-08-31	85.86	439	13.44	持有	97.40
300225	金力泰			2018-10-25	37.15	19	13.32	持有	42.10
600847	万里股份			2018-10-22	18.93	22	13.31	持有	21.45
002464	金利科技			2018-10-30	23.03	14	12.98	持有	26.02
600562	国睿科技			2018-10-26	88.60	18	12.87	持有	100.00
002278	神开股份			2018-10-24	13.60	20	12.79	持有	15.34
600332	白云山			2018-08-23	50.73	82	12.67	持有	57.16
600388	龙净环保			2018-10-24	69.98	20	12.62	持有	78.81
002666	德联集团			2018-06-29	17.43	137	12.39	持有	19.59
000976	春晖股份			2018-10-30	14.26	14	12.34	持有	16.02
002537	海立美达			2018-06-21	64.92	145	12.23	持有	72.86
002458	益生股份			2018-10-09	41.22	35	12.15	持有	46.23
000790	华神集团			2018-10-25	47.75	19	12.13	持有	53.54
300198	纳川股份			2018-11-01	29.78	12	11.99	持有	33.35
300076	GQY视讯			2018-10-23	33.24	21	11.97	持有	37.22
600885	宏发股份			2018-10-23	80.76	21	11.92	持有	90.39
000810	创维数字			2018-10-22	30.38	22	11.72	持有	33.94
600856	中天能源			2018-08-29	29.37	76	11.64	持有	32.79
002281	光迅科技			2018-06-06	81.44	160	11.55	持有	90.85
000630	铜陵有色			2017-11-24	54.74	354	11.53	持有	61.05
600533	XD栖霞建			2018-10-26	26.18	18	11.27	持有	29.13
300073	当升科技			2018-09-12	93.25	62	11.26	持有	103.75
300047	天源迪科			2017-11-29	37.36	349	11.19	持有	41.54
300284	苏交科			2018-10-31	27.09	13	11.15	持有	30.11
000850	华茂股份			2018-07-09	31.03	127	10.83	持有	34.39
002154	报 喜 鸟			2018-10-26	32.33	18	10.55	持有	35.74
600491	龙元建设			2018-06-25	74.19	141	10.34	持有	81.86
600030	中信证券			2018-08-22	85.39	83	10.24	持有	94.13
600641	万业企业			2018-10-29	182.93	15	10.17	持有	201.54
000615	京汉股份			2018-10-24	49.41	20	10.16	持有	54.43
002209	达 意 隆			2018-09-03	10.30	71	10.0	持有	11.33
300271	华宇软件			2018-10-17	109.87	27	9.95	持有	120.80
002180	艾派克			2018-10-30	114.61	14	9.82	持有	125.87
