		code	name	buy_date	buy_price	period	ratio	sell_date	sell_price
002352	鼎泰新材			2016-03-03	37.36	239	338.57	持有	163.85
600149	廊坊发展			2016-02-03	32.60	268	159.85	持有	84.71
000912	泸天化			2016-06-20	14.43	129	115.87	持有	31.15
002709	天赐材料			2016-03-08	66.30	234	112.53	持有	140.91
000839	中信国安			2016-03-08	130.50	234	110.25	持有	274.37
002759	天际股份			2016-03-14	37.43	228	107.53	持有	77.68
002618	丹邦科技			2016-03-03	31.45	239	106.14	持有	64.83
600110	诺德股份			2016-02-02	86.76	269	100.97	持有	174.36
000011	深物业A			2016-01-29	34.47	273	80.1	持有	62.08
002365	永安药业			2016-03-04	32.65	238	77.73	持有	58.03
300391	康跃科技			2016-03-03	39.90	239	74.14	持有	69.48
300308	中际装备			2016-10-10	49.34	18	73.92	持有	85.81
002692	远程电缆			2016-06-01	31.56	142	73.1	持有	54.63
000959	首钢股份			2016-05-27	8.49	154	69.96	持有	14.43
300076	GQY视讯			2016-03-14	74.89	214	68.9	持有	126.49
000678	襄阳轴承			2016-03-03	31.30	239	63.29	持有	51.11
300327	中颖电子			2016-03-15	37.22	227	62.39	持有	60.44
300237	美晨科技			2016-03-14	79.98	228	61.8	持有	129.41
600693	东百集团			2016-06-29	75.67	121	59.59	持有	120.76
000923	河北宣工			2016-03-14	21.32	228	58.3	持有	33.75
002656	摩登大道			2016-03-02	35.81	153	58.22	持有	56.66
002479	富春环保			2016-02-02	31.85	241	57.39	持有	50.13
002686	亿利达			2016-03-03	47.02	239	56.15	持有	73.42
600898	三联商社			2016-06-22	32.93	128	55.0	持有	51.04
603558	健盛集团			2016-06-24	67.04	126	54.22	持有	103.39
600318	新力金融			2016-02-01	33.42	270	52.66	持有	51.02
000524	岭南控股			2016-03-11	53.14	231	51.69	持有	80.61
300411	金盾股份			2016-02-03	41.56	83	51.2	持有	62.84
300264	佳创视讯			2016-03-08	35.09	234	49.96	持有	52.62
300377	赢时胜			2016-02-01	109.65	270	49.93	持有	164.40
000659	珠海中富			2016-06-28	68.64	51	49.14	持有	102.37
300323	华灿光电			2016-03-15	20.56	31	48.83	持有	30.60
002340	格林美			2016-03-02	86.98	240	48.49	持有	129.16
600678	四川金顶			2016-05-31	52.62	150	47.64	持有	77.69
300353	东土科技			2016-03-03	97.29	111	47.06	持有	143.07
300026	红日药业			2016-03-07	205.66	235	47.0	持有	302.31
600179	*ST黑化			2016-06-15	17.46	135	46.96	持有	25.66
600322	天房发展			2016-06-29	14.15	121	43.89	持有	20.36
600475	华光股份			2016-03-15	33.27	227	43.52	持有	47.75
300309	吉艾科技			2016-05-04	53.42	177	43.26	持有	76.53
000333	美的集团			2016-03-02	78.39	240	42.98	持有	112.08
002719	麦趣尔			2016-05-11	41.82	170	42.8	持有	59.72
600768	宁波富邦			2016-02-03	55.73	56	42.62	持有	79.48
300256	星星科技			2016-05-26	30.81	155	42.58	持有	43.93
600734	实达集团			2016-03-14	51.66	228	41.35	持有	73.02
002455	百川股份			2016-03-02	42.25	240	41.02	持有	59.58
300082	奥克股份			2016-05-24	39.31	157	41.01	持有	55.43
600856	中天能源			2016-06-03	56.02	147	38.0	持有	77.31
600148	长春一东			2016-02-02	49.04	269	37.42	持有	67.39
002758	华通医药			2016-03-15	64.70	227	37.37	持有	88.88
300191	潜能恒信			2016-03-17	116.73	225	37.35	持有	160.33
002016	世荣兆业			2016-06-22	45.16	128	37.0	持有	61.87
000570	苏常柴Ａ			2016-02-03	41.34	268	36.96	持有	56.62
300441	鲍斯股份			2016-03-17	69.23	225	36.7	持有	94.64
600173	卧龙地产			2016-03-02	13.69	240	36.45	持有	18.68
600830	香溢融通			2016-05-30	95.63	151	36.36	持有	130.40
600161	天坛生物			2016-03-21	153.99	221	36.19	持有	209.72
300423	鲁亿通			2016-03-14	32.35	228	36.01	持有	44.00
000004	国农科技			2016-03-02	219.30	240	34.7	持有	295.39
601001	大同煤业			2016-01-06	12.36	296	34.39	持有	16.61
300065	海兰信			2016-05-23	115.31	158	33.91	持有	154.41
002291	星期六			2016-03-07	17.54	235	33.81	持有	23.47
002370	亚太药业			2016-03-17	42.64	225	33.37	持有	56.87
600853	龙建股份			2016-05-31	10.77	150	33.24	持有	14.35
002085	万丰奥威			2016-06-15	95.58	135	32.93	持有	127.05
002156	通富微电			2016-03-14	24.59	150	32.9	持有	32.68
000652	泰达股份			2016-05-26	119.69	155	32.68	持有	158.81
300226	上海钢联			2016-02-03	146.91	268	32.64	持有	194.86
000993	闽东电力			2016-05-27	14.99	154	32.09	持有	19.80
300077	国民技术			2016-03-15	80.00	227	32.08	持有	105.66
600800	天津磁卡			2016-06-29	88.47	121	31.97	持有	116.75
300394	天孚通信			2016-03-14	71.66	228	31.93	持有	94.54
000615	京汉股份			2016-05-24	78.59	157	31.91	持有	103.67
300240	飞力达			2016-06-17	36.21	133	31.7	持有	47.69
002614	蒙发利			2016-03-02	54.67	240	31.5	持有	71.89
000030	富奥股份			2016-05-27	15.12	154	31.42	持有	19.87
002319	乐通股份			2016-06-01	35.40	149	31.41	持有	46.52
002591	恒大高新			2016-03-03	39.74	239	31.4	持有	52.22
002473	圣莱达			2016-03-09	41.64	233	31.39	持有	54.71
300303	聚飞光电			2016-06-22	63.15	128	30.51	持有	82.42
000791	甘肃电投			2016-08-04	26.74	85	30.48	持有	34.89
002040	南 京 港			2016-03-09	26.89	233	30.46	持有	35.08
000656	金科股份			2016-02-03	21.61	268	29.99	持有	28.09
600732	*ST新梅			2016-02-05	28.55	41	29.98	持有	37.11
000529	广弘控股			2016-06-20	24.93	130	29.96	持有	32.40
000768	中航飞机			2016-05-27	140.22	154	29.77	持有	181.97
000885	同力水泥			2016-01-20	22.14	282	29.54	持有	28.68
603338	浙江鼎力			2016-03-15	91.01	227	29.52	持有	117.88
000565	渝三峡Ａ			2016-03-18	75.38	224	29.52	持有	97.63
002743	富煌钢构			2016-06-17	26.95	133	29.5	持有	34.90
600178	东安动力			2016-08-08	20.25	81	29.48	持有	26.22
000756	新华制药			2016-06-20	15.41	130	29.46	持有	19.95
600370	三房巷			2016-06-28	32.76	122	29.33	持有	42.37
601800	中国交建			2016-06-22	12.19	128	29.2	持有	15.75
603268	松发股份			2016-03-07	38.72	235	29.13	持有	50.00
600152	维科精华			2016-02-04	28.15	267	29.09	持有	36.34
601699	潞安环能			2016-01-06	36.61	296	28.95	持有	47.21
002706	良信电器			2016-02-01	58.03	270	28.86	持有	74.78
000636	风华高科			2016-02-04	138.94	267	28.83	持有	178.99
601058	赛轮金宇			2016-06-17	15.89	133	28.76	持有	20.46
300099	尤洛卡			2016-03-03	101.89	239	28.3	持有	130.72
000785	武汉中商			2016-03-08	68.08	234	27.69	持有	86.93
002054	德美化工			2016-05-24	30.36	157	27.54	持有	38.72
300458	全志科技			2016-03-17	74.80	225	27.51	持有	95.38
300066	三川智慧			2016-03-14	122.91	228	27.5	持有	156.71
000518	四环生物			2016-08-16	54.80	73	27.24	持有	69.73
000737	南风化工			2016-05-30	20.81	151	27.15	持有	26.46
