code,name_x,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date,name_y,changepercent,trade,open,high,low,settlement,volume,turnoverratio,pe,pb
600123,兰花科创,0.09,466.23,,1.04,,9960.45,466.79,,10-28,兰花科创,1.01,8.0,7.91,8.05,7.85,7.92,34536460,3.02315,88.8888888889,0.924444444444
002545,东方铁塔,0.19,7.79,,1.68,,4825.49,7.78,,10-24,东方铁塔,10.0,11.22,11.22,11.22,11.22,10.2,373506,0.10921,59.0526315789,0.992084210526
601328,交通银行,0.7,1.45,6.79,10.61,,5204000.0,1.01,,10-31,交通银行,1.21,6.69,6.58,6.76,6.55,6.61,177484724,0.45218,9.55714285714,1.01401285714
601633,长城汽车,2.04,11.14,,17.51,,620858.11,11.14,,10-24,长城汽车,1.563,12.35,12.16,12.48,12.11,12.16,37108896,0.61564,6.05392156863,1.06004166667
000422,湖北宜化,0.04,90.0,,0.55,,3384.98,86.22,,10-27,湖北宜化,2.621,7.83,7.59,7.89,7.56,7.63,27633605,3.07788,195.75,1.076625
600308,华泰股份,0.06,3.51,,1.09,,6879.92,2.48,,10-24,华泰股份,1.186,5.97,5.9,6.02,5.81,5.9,25616165,2.19399,99.5,1.08455
601818,光大银行,0.51,2.0,4.21,12.62,,2387500.0,2.37,,10-31,光大银行,2.326,4.4,4.26,4.44,4.25,4.3,332711636,0.83574,8.62745098039,1.08878431373
000543,皖能电力,0.9,34.33,,10.97,,94712.79,33.45,,10-23,皖能电力,2.237,9.14,8.95,9.24,8.91,8.94,48648039,2.79142,10.1555555556,1.11406444444
601939,建设银行,0.77,1.32,5.5,14.59,,19155700.0,0.66,,10-30,建设银行,1.718,5.92,5.78,5.95,5.78,5.82,99069662,1.03266,7.68831168831,1.12172467532
000488,晨鸣纸业,0.29,61.11,,3.76,,56132.56,64.52,,10-23,晨鸣纸业,1.03,8.83,8.7,8.86,8.58,8.74,19343495,1.75048,30.4482758621,1.14485517241
601998,中信银行,0.7,1.45,6.29,11.92,0.85,3292600.0,2.0,,10-28,中信银行,2.013,7.6,7.35,7.8,7.3,7.45,160593592,0.50335,10.8571428571,1.29417142857
600016,民生银行,1.1,1.85,8.02,14.47,3.36,3837700.0,4.35,,10-31,民生银行,9.923,9.97,9.01,9.98,8.98,9.07,856796695,2.89931,9.06363636364,1.31150818182
601668,中国建筑,0.6,5.26,5.36,11.8,-0.52,1904355.2,12.67,,10-30,中国建筑,3.385,6.72,6.46,6.85,6.45,6.5,348219272,1.16459,11.2,1.3216
601333,广深铁路,0.13,35.87,,3.27,,88281.66,35.86,,10-29,广深铁路,2.529,5.27,5.14,5.32,5.11,5.14,71625575,1.26721,40.5384615385,1.32560769231
600036,招商银行,1.92,5.49,13.84,14.63,6.98,4850000.0,5.89,,10-30,招商银行,4.053,18.23,17.43,18.45,17.35,17.52,152603076,0.73975,9.49479166667,1.38908802083
