code,name_x,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date,name_y,changepercent,trade,open,high,low,settlement,volume,turnoverratio,pe,pb,peg
600026,中海发展,0.1,7.34,,0.78,,38968.57,25.31,,03-30,中海发展,0.337,5.96,5.95,6.02,5.94,5.94,13779141,0.50362,59.6,0.46488,8.11989100817
600308,华泰股份,0.06,6.8,,1.02,,6457.49,7.41,10派0.17,04-16,华泰股份,0.233,4.31,4.3,4.34,4.27,4.3,11711338,1.00306,71.8333333333,0.7327,10.5637254902
601009,南京银行,2.21,16.93,14.01,17.59,25.58,700057.6,24.82,10派4转8,04-28,南京银行,0.542,9.27,9.21,9.34,9.21,9.22,16148258,0.30217,4.19457013575,0.737824886878,0.247759606364
000422,湖北宜化,0.04,11.43,,0.58,,3539.6,14.08,10派0.1,04-26,湖北宜化,1.176,6.02,5.95,6.08,5.95,5.95,5368700,0.59798,150.5,0.8729,13.167104112
601000,唐山港,0.56,3.7,,13.44,,119979.03,10.17,10派1.5转8,03-31,唐山港,0.804,3.76,3.73,3.81,3.71,3.73,21439957,0.53388,6.71428571429,0.9024,1.81467181467
601998,中信银行,0.88,1.15,6.49,14.55,-0.43,4115800.0,1.15,10派2.12,03-24,中信银行,-0.18,5.56,5.57,5.61,5.53,5.57,26577869,0.0833,6.31818181818,0.919295454545,5.49407114625
600657,信达地产,0.56,12.0,,10.6,,86016.6,12.05,10派1,03-26,信达地产,0.83,4.86,4.84,4.93,4.82,4.82,5565681,0.36514,8.67857142857,0.919928571429,0.723214285714
002302,西部建设,0.67,4.69,,8.98,,34679.09,4.23,10派1转10,03-31,西部建设,0.429,7.03,6.95,7.14,6.95,7.0,2623840,0.48426,10.4925373134,0.942229850746,2.23721477898
000937,冀中能源,0.1,916.33,,1.92,,35181.3,1343.4,10派0.05,04-22,冀中能源,2.616,5.1,4.96,5.21,4.96,4.97,39340444,1.35349,51.0,0.9792,0.0556568048629
600467,好当家,0.05,66.67,,1.21,,3519.39,71.03,10派0.15转10,04-23,好当家,0.746,4.05,4.01,4.1,4.01,4.02,29563623,2.02353,81.0,0.9801,1.21493925304
