code,name_x,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date,name_y,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc,pe,peg
300185,通裕重工,0.09,50.0,4.61,2.16,0.1,8308.44,43.89,10派1转20,08-03,通裕重工,1.37,2.22,2.2,2.23,2.19,2.19,17325327,0.63198,38351744,44.4,0.5328,725439.152016,608597.38896,24.6666666667,0.493333333333
000903,云内动力,0.14,13.22,,2.95,,10956.45,13.72,,08-29,云内动力,0.0,3.08,3.09,3.11,3.06,3.08,5396204,0.31,16599106,11.0,0.649,607006.663956,536139.21592,22.0,1.66414523449
300420,五洋停车,0.35,157.93,11.18,3.86,-0.16,3209.54,223.09,,08-03,五洋停车,1.623,6.26,6.18,6.26,6.18,6.16,1376000,0.55009,8567823,20.867,0.690388571429,319989.06151,156587.501028,17.8857142857,0.113250897776
300026,红日药业,0.31,10.71,5.55,5.75,0.15,31142.14,25.7,10转20,08-26,红日药业,0.532,3.78,3.78,3.79,3.76,3.76,5881660,0.24635,22218637,17.182,0.701129032258,1138178.71175,902495.598354,12.1935483871,1.1385199241
000591,太阳能,0.2,183.67,,2.87,,22038.33,1059.61,,08-16,太阳能,2.062,4.95,4.88,4.97,4.88,4.85,6506216,0.35194,32130541,9.429,0.710325,1488513.52584,915094.10817,24.75,0.134752545326
600401,*ST海润,0.01,18.42,,0.85,,4246.44,18.71,,08-20,*ST海润,0.0,0.87,0.0,0.0,0.0,0.87,0,0.0,0,-3.486,0.7395,411069.358224,411069.358224,87.0,4.72312703583
002483,润邦股份,0.16,100.0,,2.81,,6667.97,146.44,,08-11,润邦股份,1.613,4.41,4.36,4.42,4.35,4.34,1394300,0.24258,6122128,22.05,0.77450625,296549.46216,253479.032667,27.5625,0.275625
002670,国盛金控,0.31,110.48,,1.65,,9840.46,239.28,,08-25,国盛金控,1.52,14.69,14.62,14.75,14.47,14.47,7038363,1.42823,102806837,18.56,0.781887096774,2200274.6636,723928.328279,47.3870967742,0.428920137348
002585,双星新材,0.11,22.22,,1.53,,8073.01,21.05,,08-24,双星新材,0.515,5.86,5.83,5.89,5.83,5.83,1674390,0.24076,9812731,31.607,0.815072727273,677578.95781,407542.008308,53.2727272727,2.39751247852
600015,华夏银行,0.92,5.75,11.54,8.02,6.92,982600.0,6.08,,08-11,华夏银行,1.615,9.44,9.42,9.46,9.37,9.29,28012590,0.21846,263816505,5.13,0.82292173913,12104616.2004,12104616.2004,10.2608695652,1.78449905482
002620,瑞和股份,0.45,40.63,,4.84,,5386.77,41.42,,08-24,瑞和股份,0.621,8.1,8.1,8.15,8.05,8.05,1533308,0.50583,12411344,11.234,0.8712,293625.0,245532.58164,18.0,0.443022397243
