code,name_x,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date,name_y,changepercent,trade,open,high,low,settlement,volume,turnoverratio,pe,pb
601633,长城汽车,2.04,11.14,,17.51,,620858.11,11.14,,10-24,长城汽车,-0.491,12.16,12.22,12.27,12.07,12.22,26121085,0.43335,5.96078431373,1.04373333333
601939,建设银行,0.77,1.32,5.5,14.59,,19155700.0,0.66,,10-30,建设银行,0.692,5.82,5.76,5.97,5.75,5.78,90835436,0.94683,7.55844155844,1.10277662338
601166,兴业银行,2.16,7.46,15.87,15.75,31.86,4122100.0,7.62,,10-28,兴业银行,1.298,16.39,16.14,16.88,16.12,16.18,171044046,1.05716,7.58796296296,1.19510416667
601818,光大银行,0.51,2.0,4.21,12.62,,2387500.0,2.37,,10-31,光大银行,0.703,4.3,4.27,4.43,4.24,4.27,260338155,0.65395,8.43137254902,1.06403921569
600036,招商银行,1.92,5.49,13.84,14.63,6.98,4850000.0,5.89,,10-30,招商银行,2.456,17.52,17.09,18.06,17.04,17.1,156986555,0.761,9.125,1.3349875
600894,广日股份,2.33,278.02,,37.73,,200280.86,296.32,,10-29,广日股份,1.618,21.35,21.09,21.59,20.98,21.01,19632992,2.28305,9.16309012876,3.45723390558
601328,交通银行,0.7,1.45,6.79,10.61,,5204000.0,1.01,,10-31,交通银行,0.609,6.61,6.55,6.77,6.55,6.57,138584888,0.35307,9.44285714286,1.00188714286
600011,华能国际,0.92,29.58,,18.4,,1323475.27,32.41,,10-21,华能国际,0.339,8.87,8.82,8.98,8.81,8.84,17550592,0.16715,9.64130434783,1.774
000966,长源电力,1.4,25.09,,29.14,,77793.68,25.09,,10-28,长源电力,-0.669,14.85,14.89,15.09,14.8,14.95,8699064,1.56983,10.6071428571,3.09092142857
601998,中信银行,0.7,1.45,6.29,11.92,0.85,3292600.0,2.0,,10-28,中信银行,0.134,7.45,7.38,7.81,7.34,7.44,190694373,0.59769,10.6428571429,1.26862857143
601009,南京银行,1.67,19.29,13.16,14.77,23.08,517819.1,24.48,,10-29,南京银行,1.705,17.9,17.53,18.54,17.45,17.6,53073416,1.78763,10.7185628743,1.58313173653
601668,中国建筑,0.6,5.26,5.36,11.8,-0.52,1904355.2,12.67,,10-30,中国建筑,-0.307,6.5,6.47,6.63,6.46,6.52,187859687,0.62828,10.8333333333,1.27833333333
000333,美的集团,2.6,22.64,,25.46,,1101210.27,23.0,,10-29,美的集团,-1.524,29.72,30.18,30.48,29.5,30.18,16047235,0.7166,11.4307692308,2.91027384615
600741,华域汽车,1.41,4.92,,14.91,,363407.92,4.89,,10-29,华域汽车,-0.884,16.82,16.9,16.98,16.71,16.97,14849202,0.57484,11.9290780142,1.77862553191
000623,吉林敖东,2.26,120.76,,13.76,,201805.95,120.77,,10-31,吉林敖东,-0.754,30.27,30.51,30.78,30.17,30.5,22209030,2.75229,13.3938053097,1.84298761062
000776,广发证券,1.51,196.08,,18.02,,1038601.72,241.58,,10-31,广发证券,-1.087,20.92,20.98,21.46,20.75,21.15,81655713,1.37948,13.8543046358,2.49654569536
601211,国泰君安,1.75,173.44,,20.2,,1196111.1,204.08,,10-30,国泰君安,-0.823,25.31,25.34,25.57,24.95,25.52,61260859,4.01711,14.4628571429,2.92149714286
002736,国信证券,1.35,237.5,,28.5,,1108258.26,302.67,,10-28,国信证券,-0.896,19.9,20.06,20.16,19.8,20.08,24284425,2.0237,14.7407407407,4.20111111111
600837,海通证券,1.06,103.85,,13.04,,1106492.21,123.58,,10-29,海通证券,-0.755,15.78,15.9,16.06,15.73,15.9,72511581,0.89608,14.8867924528,1.94123773585
