code,name_x,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date,name_y,changepercent,trade,open,high,low,settlement,volume,turnoverratio,pe,pb,peg
002157,正邦科技,0.91,9000.0,,17.7,,60969.57,9427.2,10转20,08-15,正邦科技,1.542,4.61,4.53,4.64,4.52,4.54,11836979,0.86722,5.06593406593,0.89667032967,0.000562881562882
600129,太极集团,2.26,435.86,,72.62,,96442.98,435.83,,08-20,太极集团,-1.53,14.8,14.91,14.91,14.6,15.03,4618651,1.08192,6.54867256637,4.7556460177,0.0150247156573
600015,华夏银行,0.92,5.75,11.54,8.02,6.92,982600.0,6.08,,08-11,华夏银行,2.623,9.78,9.5,9.79,9.5,9.53,78536208,0.61248,10.6304347826,0.852560869565,1.84877126654
000536,华映科技,0.51,1036.75,,13.31,,39767.05,1035.8,,08-12,华映科技,0.177,5.65,5.65,5.67,5.61,5.64,4311183,0.34675,11.0784313725,1.47453921569,0.0106857307669
600826,兰生股份,1.68,66.34,,20.31,,70617.65,65.43,,08-20,兰生股份,-0.412,19.35,19.39,19.43,19.05,19.43,4257320,1.0121,11.5178571429,2.33927678571,0.173618588225
000625,长安汽车,1.18,8.26,,15.43,,549098.86,7.98,,08-30,长安汽车,0.071,14.03,14.03,14.07,13.95,14.02,22487513,0.59793,11.8898305085,1.83460084746,1.43944679279
601166,兴业银行,1.49,2.76,15.88,9.46,1.46,2944100.0,6.12,,08-30,兴业银行,1.135,17.82,17.65,17.92,17.59,17.62,125186340,0.65707,11.9597315436,1.13139060403,4.33323606653
000626,远大控股,1.44,42.03,,22.69,,31436.44,53.35,10派3.33转10,08-31,远大控股,-0.652,18.29,18.46,18.59,18.05,18.41,2551585,0.63065,12.7013888889,2.88194513889,0.302198165332
603766,隆鑫通用,0.51,16.71,,7.84,,42705.66,22.16,,08-16,隆鑫通用,0.704,7.15,7.12,7.23,7.11,7.1,10409326,0.50101,14.0196078431,1.0991372549,0.838995083371
002714,牧原股份,2.07,1970.0,,26.43,,107242.89,2189.93,,07-21,牧原股份,1.312,29.35,28.7,29.35,28.66,28.97,7246317,1.20353,14.1787439614,3.74744202899,0.00719733196008
600026,中远海能,0.45,492.52,,5.54,,182035.05,508.52,,08-30,中远海能,1.878,6.51,6.39,6.52,6.35,6.39,21722796,0.79395,14.4666666667,0.801453333333,0.0293727496684
300026,红日药业,0.31,10.71,5.55,5.75,0.15,31142.14,25.7,10转20,08-26,红日药业,0.443,4.53,4.51,4.55,4.48,4.51,6605465,0.29562,14.6129032258,0.840241935484,1.36441673444
300017,网宿科技,0.78,69.38,8.24,12.81,0.65,58581.28,81.78,,07-29,网宿科技,-1.198,11.55,11.7,11.74,11.55,11.69,27597042,1.73808,14.8076923077,1.89686538462,0.213428831186
002142,宁波银行,1.06,16.48,11.34,9.81,23.74,413885.3,16.53,,08-29,宁波银行,4.319,15.7,15.07,15.75,15.05,15.05,36832452,0.81873,14.8113207547,1.45299056604,0.898745191427
600064,南京高科,0.99,48.13,,8.36,,76297.95,47.65,,07-28,南京高科,0.749,14.8,14.69,14.82,14.64,14.69,3892260,0.50387,14.9494949495,1.24977777778,0.310606585279
