code,name_x,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date,name_y,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc,pe,peg
002157,正邦科技,0.91,9000.0,,17.7,,60969.57,9427.2,10转20,08-15,正邦科技,4.733,5.09,5.01,5.12,4.9,4.86,52016319,2.4298,261613016,22.13,0.990032967033,1187844.53146,1089647.56889,5.59340659341,0.00062148962149
600366,宁波韵升,1.38,216.3,,17.71,,74221.25,226.41,,08-31,宁波韵升,2.806,8.06,7.84,8.19,7.84,7.84,14793206,1.49699,119357171,10.409,1.03436666667,808035.28299,796486.956902,5.84057971014,0.0270022178
000626,远大控股,1.44,42.03,,22.69,,31436.44,53.35,10派3.33转10,08-31,远大控股,-1.878,8.88,9.08,9.09,8.87,9.05,2208100,0.54576,19736103,-27.75,1.39921666667,531587.469744,359280.36,6.16666666667,0.146720596399
600177,雅戈尔,1.31,0.77,,14.2,,307059.09,5.78,,08-31,雅戈尔,-0.478,8.32,8.38,8.41,8.31,8.36,4397613,0.12279,36717889,104.0,0.90186259542,2979764.1977,2979764.1977,6.35114503817,8.24824030931
600100,同方股份,1.67,413.79,,24.34,,495688.33,462.21,,08-30,同方股份,-2.822,11.02,11.33,11.33,10.98,11.34,19756333,0.66657,219430432,314.857,1.60614850299,3266216.644,3266216.644,6.59880239521,0.0159472253926
000536,华映科技,0.51,1036.75,,13.31,,39767.05,1035.8,,08-12,华映科技,-1.739,3.39,3.44,3.45,3.37,3.45,8780922,0.43838,29854786,45.749,0.884723529412,937685.120217,679035.276846,6.64705882353,0.00641143846012
000536,华映科技,0.51,1036.75,,13.31,,39767.05,1035.8,,08-12,华映科技,-1.739,3.39,3.44,3.45,3.37,3.45,8780922,0.43838,29854786,45.749,0.884723529412,937685.120217,679035.276846,6.64705882353,0.00641143846012
600064,南京高科,0.99,48.13,,8.36,,76297.95,47.65,,07-28,南京高科,-1.299,8.36,8.45,8.48,8.32,8.47,4192992,0.33925,35155929,6.824,0.705955555556,1033259.95837,1033259.95837,8.44444444444,0.17545074682
000957,中通客车,0.98,390.0,,12.78,,29183.11,504.73,,08-19,中通客车,-0.467,8.52,8.52,8.61,8.5,8.56,3336100,0.69939,28487217,26.625,1.11107755102,505154.153472,406402.863432,8.69387755102,0.0222919937206
000957,中通客车,0.98,390.0,,12.78,,29183.11,504.73,,08-19,中通客车,-0.467,8.52,8.52,8.61,8.5,8.56,3336100,0.69939,28487217,26.625,1.11107755102,505154.153472,406402.863432,8.69387755102,0.0222919937206
600015,华夏银行,0.92,5.75,11.54,8.02,6.92,982600.0,6.08,,08-11,华夏银行,-0.59,8.42,8.47,8.5,8.4,8.47,14246014,0.1111,120397692,5.689,0.734004347826,10796702.1618,10796702.1618,9.15217391304,1.59168241966
600826,兰生股份,1.68,66.34,,20.31,,70617.65,65.43,,08-20,兰生股份,-0.452,15.42,15.44,15.65,15.09,15.49,6629544,1.57605,101692979,22.348,1.86416785714,648630.408096,648630.408096,9.17857142857,0.138356518369
600826,兰生股份,1.68,66.34,,20.31,,70617.65,65.43,,08-20,兰生股份,-0.452,15.42,15.44,15.65,15.09,15.49,6629544,1.57605,101692979,22.348,1.86416785714,648630.408096,648630.408096,9.17857142857,0.138356518369
600826,兰生股份,1.68,66.34,,20.31,,70617.65,65.43,,08-20,兰生股份,-0.452,15.42,15.44,15.65,15.09,15.49,6629544,1.57605,101692979,22.348,1.86416785714,648630.408096,648630.408096,9.17857142857,0.138356518369
300403,地尔汉宇,0.79,60.34,9.37,8.38,0.67,10603.92,60.35,,08-18,地尔汉宇,-1.332,7.41,7.48,7.59,7.37,7.51,5673696,1.48902,42215454,15.438,0.78602278481,446823.0,282347.636727,9.37974683544,0.155448240561
000863,三湘印象,0.48,380.0,,13.7,,46074.84,421.51,10派1.00419,08-30,三湘印象,-1.528,4.51,4.59,4.59,4.51,4.58,1331028,0.14491,6042438,23.737,1.28722916667,623170.419894,414264.876949,9.39583333333,0.024725877193
600074,*ST保千,0.15,150.0,,20.75,,33624.47,226.98,,08-24,*ST保千,-2.759,1.41,1.45,1.46,1.39,1.45,19240659,1.87521,27399765,-0.445,1.9505,343741.932909,144673.491612,9.4,0.0626666666667
600074,*ST保千,0.15,150.0,,20.75,,33624.47,226.98,,08-24,*ST保千,-2.759,1.41,1.45,1.46,1.39,1.45,19240659,1.87521,27399765,-0.445,1.9505,343741.932909,144673.491612,9.4,0.0626666666667
000958,东方能源,0.44,22.22,,9.93,,24295.63,39.2,,08-17,东方能源,-1.354,4.37,4.45,4.47,4.34,4.43,9679000,1.45233,42539120,54.625,0.986229545455,481693.399762,291237.077674,9.93181818182,0.446976515833
