code,name_x,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date,name_y,changepercent,trade,open,high,low,settlement,volume,turnoverratio,pe,pb,peg
000150,宜华健康,2.08,83296.0,,36.03,,93363.78,82412.04,,08-31,宜华健康,-2.106,32.08,32.99,32.99,31.96,32.77,2567761,0.72549,15.4230769231,5.55693461538,0.000185159874701
002027,分众传媒,0.45,56150.0,0.62,34.28,,190117.15,751355.02,,08-31,分众传媒,1.4,15.21,15.1,15.64,14.94,15.0,13436130,2.64989,33.8,11.58664,0.00060195903829
002157,正邦科技,0.91,9000.0,,17.7,,60969.57,9427.2,10转20,08-15,正邦科技,-1.158,6.83,6.92,6.92,6.83,6.91,9968781,0.85515,7.50549450549,1.32847252747,0.000833943833944
002714,牧原股份,2.07,1970.0,,26.43,,107242.89,2189.93,,07-21,牧原股份,-0.832,23.85,24.0,24.07,23.84,24.05,3276957,1.06724,11.5217391304,3.04519565217,0.00584859854337
600784,鲁银投资,0.12,11600.0,,4.53,,6675.9,8204.15,,08-20,鲁银投资,-3.723,9.31,9.66,9.69,9.29,9.67,7124601,1.43464,77.5833333333,3.514525,0.0066882183908
600629,华建集团,0.26,6470.0,,11.96,,9436.39,6508.51,,08-10,华建集团,-0.253,19.73,19.81,20.17,19.53,19.78,3016639,0.86685,75.8846153846,9.0758,0.011728688622
002558,世纪游轮,1.03,5050.0,,16.18,,49967.2,42634.19,10转20,08-18,世纪游轮,2.4,64.0,63.5,64.51,60.23,62.5,9557662,14.8419,62.1359223301,10.053592233,0.0123041430357
002477,雏鹰农牧,0.14,2686.54,,9.83,,45423.2,8694.1,,08-12,雏鹰农牧,-0.193,5.16,5.17,5.24,5.12,5.17,25636945,1.34831,36.8571428571,3.62305714286,0.0137191863353
600508,上海能源,0.4,1900.0,,3.52,,28717.56,2269.69,,08-25,上海能源,-1.296,10.66,10.76,10.8,10.6,10.8,4016419,0.55574,26.65,0.93808,0.0140263157895
600129,太极集团,2.26,435.86,,72.62,,96442.98,435.83,,08-20,太极集团,-0.403,17.28,17.38,17.42,17.2,17.35,2731212,0.63979,7.64601769912,5.5525380531,0.0175423707133
600100,同方股份,1.67,413.79,,24.34,,495688.33,462.21,,08-30,同方股份,-0.5,13.92,13.93,13.99,13.79,13.99,27052083,1.23082,8.33532934132,2.02881916168,0.0201438636538
600075,新疆天业,0.59,883.33,3.56,11.56,,26873.39,926.48,,08-30,新疆天业,0.081,12.31,12.27,12.43,12.22,12.3,4121451,0.9397,20.8644067797,2.41192542373,0.0236201722795
600318,新力金融,0.33,3200.0,,6.72,,7987.88,3855.13,,08-26,新力金融,-2.731,28.85,29.5,29.69,28.81,29.66,2098272,0.86705,87.4242424242,5.87490909091,0.0273200757576
002067,景兴纸业,0.16,1500.0,,5.87,,17712.76,2718.83,,08-25,景兴纸业,-2.086,6.57,6.73,6.73,6.56,6.71,9803642,1.02089,41.0625,2.41036875,0.027375
000536,华映科技,0.51,1036.75,,13.31,,39767.05,1035.8,,08-12,华映科技,-0.459,15.18,15.16,15.41,15.12,15.25,4384329,0.56421,29.7647058824,3.96168235294,0.0287096270869
