code,name_x,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date,name_y,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc,pe,peg
000150,宜华健康,2.08,83296.0,,36.03,,93363.78,82412.04,,08-31,宜华健康,-0.42,28.48,28.54,28.73,28.24,28.6,245482,0.0654,6980079,17.133,4.93333846154,1275348.2897,1068938.22803,13.6923076923,0.000164381335146
002027,分众传媒,0.45,56150.0,0.62,34.28,,190117.15,751355.02,,08-31,分众传媒,-0.828,11.98,12.04,12.31,11.83,12.08,128989997,2.2225,1561401107,23.038,9.12609777778,14653417.1462,6952973.04513,26.6222222222,0.000474126842782
002157,正邦科技,0.91,9000.0,,17.7,,60969.57,9427.2,10转20,08-15,正邦科技,-0.215,4.64,4.65,4.67,4.51,4.65,37146606,1.73642,171141515,8.923,0.902505494505,1082828.80667,992617.652448,5.0989010989,0.000566544566545
600784,鲁银投资,0.12,11600.0,,4.53,,6675.9,8204.15,,08-20,鲁银投资,0.0,5.46,0.0,0.0,0.0,5.46,0,0.0,0,-22.75,2.06115,310225.103916,310225.103916,45.5,0.0039224137931
600784,鲁银投资,0.12,11600.0,,4.53,,6675.9,8204.15,,08-20,鲁银投资,0.0,5.46,0.0,0.0,0.0,5.46,0,0.0,0,-22.75,2.06115,310225.103916,310225.103916,45.5,0.0039224137931
002558,巨人网络,1.03,5050.0,,16.18,,49967.2,42634.19,10转20,08-18,巨人网络,0.0,31.17,31.55,31.55,30.7,31.17,2553747,0.73397,79184303,45.838,4.89641359223,6309992.24804,1084511.08842,30.2621359223,0.00599250216284
300063,天龙集团,0.23,3043.24,7.35,3.24,0.35,6759.84,4473.88,,08-27,天龙集团,-1.969,4.98,5.1,5.13,4.97,5.08,8031800,1.95803,40515376,10.165,0.701530434783,361760.6211,204278.413764,21.652173913,0.00711484270483
300063,天龙集团,0.23,3043.24,7.35,3.24,0.35,6759.84,4473.88,,08-27,天龙集团,-1.969,4.98,5.1,5.13,4.97,5.08,8031800,1.95803,40515376,10.165,0.701530434783,361760.6211,204278.413764,21.652173913,0.00711484270483
000536,华映科技,0.51,1036.75,,13.31,,39767.05,1035.8,,08-12,华映科技,-1.711,4.02,4.09,4.11,4.01,4.09,7036507,0.35129,28535401,54.251,1.04914117647,1111945.18681,805227.673428,7.88235294118,0.00760294472262
600629,华建集团,0.26,6470.0,,11.96,,9436.39,6508.51,,08-10,华建集团,-1.201,14.81,15.15,15.2,14.77,14.99,993508,0.27459,14832010,22.029,6.8126,640100.243492,535845.54173,56.9615384615,0.00880394721198
