code,name_x,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date,name_y,changepercent,trade,open,high,low,settlement,volume,turnoverratio,pe,pb
300059,东方财富,0.87,1579.92,1.97,56.95,0.22,147540.98,2255.16,,10-27,东方财富,-1.203,53.38,54.3,54.5,52.9,54.03,36120524,2.79732,61.3563218391,34.9424252874
600766,园城黄金,0.11,83.33,,51.89,,2442.88,87.1,,10-30,园城黄金,4.55,20.22,19.06,20.28,18.6,19.34,6946870,3.10222,183.818181818,95.3832545455
600556,慧球科技,0.0,285.71,,42.24,,106.15,301.59,,10-27,慧球科技,4.979,26.99,26.0,27.32,25.85,25.71,16743040,4.24096,inf,inf
002323,雅百特,1.07,750.99,,42.13,,16360.8,1109.3,,10-30,雅百特,5.332,36.94,35.28,36.94,35.05,35.07,5181223,6.20494,34.523364486,14.5446934579
603169,兰石重装,0.7,622.5,,40.96,,66216.51,1291.84,,10-29,兰石重装,0.441,18.22,18.04,18.26,17.88,18.14,5696094,1.47299,26.0285714286,10.6613028571
600894,广日股份,2.33,278.02,,37.73,,200280.86,296.32,,10-29,广日股份,3.397,20.7,20.02,20.72,19.99,20.02,13137603,1.52772,8.88412017167,3.35197854077
000963,华东医药,2.14,69.06,,36.97,,92741.52,69.07,,10-22,华东医药,-1.297,81.41,82.0,82.4,80.58,82.48,1830970,0.42182,38.0420560748,14.0641481308
603885,吉祥航空,1.83,110.34,,35.11,,97222.84,122.51,10派6转10,10-31,吉祥航空,-4.88,34.89,35.05,35.78,34.0,36.68,13359173,9.82292,19.0655737705,6.69392295082
300033,同花顺,0.91,1037.5,3.09,34.36,1.78,48930.88,2179.66,,10-22,同花顺,-2.245,74.45,75.95,76.46,73.75,76.16,11164917,4.26145,81.8131868132,28.111010989
600398,海澜之家,0.51,37.84,,30.06,,228957.28,41.95,,10-20,海澜之家,-1.143,13.84,13.89,13.97,13.77,14.0,12753250,0.84911,27.137254902,8.15745882353
