code,name_x,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date,name_y,changepercent,trade,open,high,low,settlement,volume,turnoverratio,pe,pb,peg
002027,分众传媒,7.55,37650.0,,73.2,,338914.2,51318.56,10派2.5转10,04-22,分众传媒,-0.164,30.48,30.53,30.78,30.38,30.53,3745934,1.82823,4.03708609272,2.95514701987,0.00010722672225
300059,东方财富,1.09,695.4,,66.42,,184857.12,1015.45,10派1转8,03-19,东方财富,-1.304,22.7,23.01,23.07,22.56,23.0,90064644,3.86908,20.8256880734,13.8324220183,0.0299477826767
002323,雅百特,1.4,1097.09,,60.25,,26619.05,2020.7,10派1.08转20,03-25,雅百特,-0.857,12.72,12.83,13.0,12.65,12.83,11107494,4.24936,9.08571428571,5.47414285714,0.00828164898569
300033,同花顺,1.78,709.09,,57.81,,95722.28,1483.35,10派7.4,02-05,同花顺,-1.261,82.2,82.5,82.8,81.55,83.25,8567806,3.25005,46.1797752809,26.6965280899,0.0651254076082
603868,飞科电器,1.28,34.74,,55.23,1.08,50171.14,35.33,,03-28,飞科电器,4.59,55.14,52.74,55.8,52.62,52.72,10109262,23.18638,43.078125,23.7920484375,1.24001511226
600315,上海家化,3.31,147.01,,46.5,,220996.1,146.12,10派9.9,03-11,上海家化,-0.216,27.66,27.81,27.83,27.54,27.72,4964229,0.73975,8.35649546828,3.88577039275,0.0568430410739
002568,百润股份,0.56,55.56,,46.22,,50019.77,777.47,,03-17,百润股份,1.402,23.14,23.0,23.72,22.95,22.82,19733762,9.04876,41.3214285714,19.0987642857,0.743726216188
000963,华东医药,2.53,45.4,,42.98,,109691.24,44.97,10派12.5,03-18,华东医药,-0.424,65.81,66.29,66.46,65.01,66.09,1981236,0.45644,26.0118577075,11.1798964427,0.572948407654
600185,格力地产,2.37,338.89,,40.12,,137076.5,337.72,10派2转18,04-19,格力地产,-1.447,6.13,6.23,6.23,6.09,6.22,23649243,1.46207,2.5864978903,1.03770295359,0.00763226383279
600894,广日股份,2.49,206.88,,39.86,,214472.3,217.89,10派7.5,04-08,广日股份,-0.071,14.08,14.12,14.21,13.99,14.09,8240335,0.95824,5.6546184739,2.25393092369,0.0273328425846
600889,南京化纤,1.49,8177.78,,39.45,,45750.64,8271.56,10派0.35,03-22,南京化纤,2.498,11.08,10.99,11.3,10.99,10.81,8338018,2.71535,7.43624161074,2.93359731544,0.000909322775954
000626,如意集团,1.52,32.34,,38.27,,30808.15,32.46,,03-01,如意集团,-0.369,56.71,57.35,57.35,56.18,56.92,3818239,1.88744,37.3092105263,14.2782348684,1.153655242
002130,沃尔核材,1.0,316.67,,34.69,,56987.33,316.98,10派1.1,04-12,沃尔核材,-0.393,15.2,15.2,15.35,15.15,15.26,10217715,2.6337,15.2,5.27288,0.0479994947422
000966,长源电力,1.72,37.96,,34.54,,95223.88,37.96,10派2.6转10,04-28,长源电力,-0.36,13.84,13.87,13.91,13.71,13.89,6192950,1.11757,8.04651162791,2.77926511628,0.21197343593
002736,国信证券,1.7,142.86,,33.86,,1394903.4,183.08,10派6,04-18,国信证券,0.457,15.39,15.26,15.48,15.26,15.32,9708499,0.44229,9.05294117647,3.06532588235,0.0633693208489
600074,保千里,0.18,520.69,,33.53,,37347.54,1313.6,,02-27,保千里,0.281,14.26,14.22,14.34,14.07,14.22,19199708,2.14287,79.2222222222,26.5632111111,0.152148537944
000625,长安汽车,2.13,31.48,,33.14,,995271.42,31.63,10派6.4,04-19,长安汽车,-1.794,14.23,14.35,14.38,14.17,14.49,35246500,1.04048,6.68075117371,2.21400093897,0.212222083028
000048,康达尔,0.52,79.31,,33.05,,20398.44,79.25,10派1.066,04-26,康达尔,-0.163,36.85,36.71,37.21,36.44,36.91,1643855,0.43035,70.8653846154,23.4210096154,0.893523951776
002270,法因数控,0.72,620.0,,32.94,,20330.33,1006.41,10派0.8,04-15,法因数控,1.81,16.31,16.04,16.8,15.88,16.02,12100516,8.68151,22.6527777778,7.461825,0.0365367383513
600753,东方银星,0.3,9966.67,,32.0,,3861.34,10714.27,,02-26,东方银星,0.173,29.03,28.52,29.61,28.52,28.98,3172063,2.47817,96.7666666667,30.9653333333,0.00970902685317
300484,蓝海华腾,1.82,40.0,,31.97,,7093.91,39.95,10派3转10,04-19,蓝海华腾,10.0,123.2,112.98,123.2,112.97,112.0,9200555,35.38675,67.6923076923,21.6412307692,1.69230769231
600452,涪陵电力,1.16,157.78,,30.85,,18610.36,158.62,10派3.5,03-30,涪陵电力,-1.252,31.54,31.82,32.22,31.37,31.94,1108600,0.69287,27.1896551724,8.38800862069,0.172326373257
